Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,47u,
"C10, C12, C13, C14, C15, C19, C2, C24, C29, C31, C34, C37, C42, C46, C48, C51, C52, C54, C56, C6, C7, C8",0603,22,0.1u,
"C11, C16, C20, C23, C32, C35, C40, C44, C47, C49, C50, C53, C55, C9",0603,14,4.7u,
C17,0603,1,0.0015u,
C18,0603,1,220p,
C21,1206,1,10uF,
C22,0603,1,3.8nF,
C25,0603,1,1000p,
"C26, C28, C57, C59, C61, C66",0603,6,10uF,
"C27, C30, C58, C60, C62, C67",0603,6,0.1uF,
"C3, R15",0603,2,var,
"C33, C45, C65",0603,3,1uF,
"C36, C39, C41, C43, C63, C64",0603,6,3.3uF,
C38,1206,1,10u,
"C4, C5",1206,2,47uF,
FL1,Filter_Murata_BNX025,1,BNX027,
IC1,TAA5242IRGER,1,TAA5242IRGER,
IC2,TAD5242IRGER,1,TAD5242IRGER,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
J10,PinHeader_2x03_P2.00mm_Vertical,1,Conn_02x03_Odd_Even,
"J12, J14, J16, J6",Molex_SL_171971-0004_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,
J13,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J15,PinHeader_2x15_P2.54mm_Vertical,1,Conn_02x15_Odd_Even,
J17,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J18,PinHeader_2x17_P2.54mm_Vertical,1,Conn_02x17_Odd_Even,
"J19, J2, J20, J21, J22, J23, J24, J3, J4, J7, J8",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,11,Conn_01x01,
"J25, J26",STX3000,2,STX-3000,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
R1,0603,1,12k,
R10,0603,1,0,
"R11, R14, R18, R19, R20, R21, R8, R9",0603,8,5k,
R12,0603,1,100,
"R13, R6, R7",0603,3,10k,
R16,0603,1,40,
"R2, R3, R4, R5",0603,4,1M,
"R29, R30, R32, R33, R37, R38, R39, R40, R41, R42",0603,10,1K,
"R35, R36",0603,2,300,
"TP1, TP2",TestPoint_Plated_Hole_D3.0mm,2,TestPoint,
"TP10, TP11, TP15, TP17, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Keystone_5005-5009_Compact,11,TestPoint,
"TP24, TP25",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,INA849D,
"U2, U4",SOT-23-5_HandSoldering,2,ADA4084-1ARJZ-R7,
U3,SOT-23-5_HandSoldering,1,LT1803CS5-TRMPBF,
U7,SOT-23-6_Handsoldering,1,SN74LVC2G17DBVR,
